Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTDESC4580109;Due to the collapse of American hegemony, $COUNTRY$ is at a cross roads. Should we end the union created under American supervision, or enact emergency measures to ensure the future of $COUNTRY$. Choosing the latter will lead to an era of civil unrest as we struggle to establish our legitimacy without the backing of our American overlords.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC8870778;Due to the collapse of American hegemony, $COUNTRY$ is at a cross roads. Should we end the union created under American supervision, or enact emergency measures to ensure the future of $COUNTRY$. Choosing the latter will lead to an era of civil unrest as we struggle to establish our legitimacy without the backing of our American overlords.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC1602682;Although New England serves only as a colloquial name to the collection small states of the North East, there are many patriots, although some would call them radicals, who believe that in this new era of revolution it is inappropriate bordering on treasonous for a region of this great nation to bear the same name as its former oppressors. As such, these devoted men of liberty wish to rename it to something more befitting of a democratic society.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC72749;There seems to be no end to American aggression. First, they seize Oregon, and now their so called Manifest Destiny calls for all the Great White North to be in their hands. Diplomacy with these fanatics is useless and who knows what else those war hawks in Washington are planning. To secure the Canadian frontier from the American menace, all colonial dominions must come under direct rule from London.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC72748;All is quiet on the Northern Frontier as the blood of the fallen stains red the snow of Canada. John Quincy Adam once said the United States does not go abroad in search of monsters to destroy, and yet how foolish are we for bringing the beast to our very doorstep. The War Hawks in Washington promised to bring the American people to glory, but instead have brought disaster upon this great nation. Not only does Canada remain under British rule, but now several of the United States northern territories along with our gains from the Oregon Wars have been lost. To make matters worse, the New England states including New York have become another puppet state of the imperial crown. Riots against the statesman in the District Colombia for their ignorance are bound to break out. This will be a day that forever haunts the American spirit.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC72740;What an embarrassing day for Empire of Great Britain. Truly we are the laughing stock of Europe for being beaten so badly by our former subjects. Not only has America seized everything north of the 50th Parallel, but they have also taken all British territories in the Caribbean and South America. The Treaty of Philadelphia has also resulted British spheres of influenced in the New World being expelled and replaced with the United States. The British crown has been dented by this defeat and our international reputation is severely stained.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC72738;After the Crusade for Canada, great swaths of lands ca me under American control. Both Anglo and French Canadians were liberated thanks the Treaty of Philadelphia. France has recently offered to purchase Quebec from us citing cultural bonds and the need to undo the wrongs of the British Empire done against French Canadians. Some in Washington are in favor of such a deal believing that America is an Anglo nation that French Canadians could never integrate in. There is also the fact the French are currently offering a large sum in exchange for Quebec and America is always in need of more funds. Others argue it would be wrong to transfer Quebec to France without first ensuring French Canadians have a right to home rule even if France would not likely pay the full price currently on the table. Many are adamant that to sell American lands to European powers is an offence to the patriots who died for it.;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC93744;While the French-Canadians share our colonial spirit and history, their culture and language is unique from the rest of Anglo Protestant nation. The question there for arises what is to be done with them? Should we attempt to integrate them, or would it be better off for them to have autonomy in the Union?;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME60081;The Top-Down Revolution;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC60081;The current government has realised its backwardness and has pushed the country and its institutions through a series of revolutionary reforms.\nThe nature of this revolution, being from the top-down, means that, despite being a champion of democracy, there is a ruling cabal that influences the nation onto the courses it finds necissary.;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA60081;An Oligarchic Republic is founded!;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME69420;The Turkish Identity;;;;;;;;;;;;;
EVTDESC69420;It's time for our flegling nation to decide it's path in the world. What are we? Who do we Identify with? What is our Destiny?\nWe could embrace pacifism, no better way to guarentee world peace than to practice it ourselves.\nWe can embrace our recent past, claim the heritage of the Ottomans under our modern nation.\nOur people orignally came from the steppes of Asia, we could aim to expand our nation to include the rest of the Turkic peoples.\nOr perhaps both...?;;;;;;;;;;;;;;;;;;;;;;;
EVT69420OPTA;Peace At Home! Peace in the World!;;;;;;;;;;;;;
EVT69420OPTB;The Ottoman Empire is our Heritage!;;;;;;;;;;;;;
EVT69420OPTC;We are Sons of the Steppes!;;;;;;;;;;;;;
EVT69420OPTD;We are the heirs of Suleiman AND Turan!;;;;;;;;;;;;;
EVTNAME69421;An Ottoman Union;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC69421;Now we have established that we truely claim the Title of the Ottomans it only makes sense to send an envoy requesting their annexation. Should they accept, in return, we shall place the rightful Ottoman Sultan on the throne of our nation. In keeping with our new republics ideals, however, they will be tightly bound with constituational laws.;;;;;;;;;;;;;
EVT69421OPTA;No, we are a republic first. There is no Negotiation;;;;;;;;;;;;;
EVT69421OPTB;Send the Envoy;;;;;;;;;;;;;
EVTNAME69422;A Turkish Envoy;;;;;;;;;;;;;
EVTDESC69422;The Turkic Rebels have sent an Envoy requesting our annexation in return for putting the Sultan on their throne;;;;;;;;;;;;;
EVT69422OPTA;Maybe this is for the best...;;;;;;;;;;;;;
EVT69422OPTB;The Arrogance! Never!;;;;;;;;;;;;;
EVTNAME69423;They Refused;;;;;;;;;;;;;
EVTDESC69423;The Ottomans have refused our request, what is our not course of action?;;;;;;;;;;;;;
EVT69423OPTA;We shall take their lands by force!;;;;;;;;;;;;;
EVT69423OPTB;We shall bide our time;;;;;;;;;;;;;
EVTNAME69424;They Accepted;;;;;;;;;;;;;
EVTDESC69424;The Ottomans have agreed to our terms! We are whole once more;;;;;;;;;;;;;
EVT69424OPTA;Hurrah for the Empire!;;;;;;;;;;;;;
EVTNAME60082;Improved Diplo-Technology;;;;;;;;;;;;;
EVTDESC60082;Due to our advences in diplomatic tools we now able to perform more diplomatic actions;;;;;;;;;;;;;
EVTOPTA60082;We shall make good use of this!;;;;;;;;;;;;;
EVTNAME69700;Diplomats Impressed with Culture;;;;;;;;;;;;;
EVTDESC69700;Our advances in culture have left an impact on the world. Diplomats have begun following in our footsteps, looking to our diplomats on how to behave and conduct themselves on the world stage;;;;;;;;;;;;;
EVTOPTA69700;$COUNTRY$, a shinning star of the International Community!;;;;;;;;;;;;;
EVTNAME69600;League of Nations;;;;;;;;;;;;;
EVTDESC69600;After the Great war that rocked the world there has been increasing calls for a league of nations. An organisation to watch over the world, limit imperialism and protect those who can't protect themselves.\n\nWe can choose to go to the negotiating table where we can object or support its creation or we can push to oppose the idea of limiting imperialism in general however such a declaration though will almost undoubtebly spiral the world into another war;;;;;;;;;;;;;
EVTOPTA69600;We shall negotiate;;;;;;;;;;;;;
EVTOPTB69600;This cannot be allowed, a new world order must be established;;;;;;;;;;;;;
EVTNAME69601;Dawn of War;;;;;;;;;;;;;
EVTDESC69601;The proposition of world peace has been deemed too much for some, limiting imperialism has chafed with other members of the international community to such extent negotiations have begun to break down. They are preparing for a war to create a new order where imperialism is the new norm;;;;;;;;;;;;;
EVTOPTA69601;May God have mercy on us;;;;;;;;;;;;;
EVTNAME69610;League of Nations Formed;;;;;;;;;;;;;
EVTDESC69610;The international community is decided. A league of nations is to be created to guarentee peace, protection and prosperity for all;;;;;;;;;;;;;
EVTOPTA69610;The sun shines over a safer world;;;;;;;;;;;;;
EVTNAME69620;League Dismissed;;;;;;;;;;;;;
EVTDESC69620;The Idea of a 'League of Nations' has been ridiculed as impractical and a waste of time. The world remains as it was...;;;;;;;;;;;;;
EVTOPTA69620;It was a noble idea;;;;;;;;;;;;;
EVTNAME69630;A New World Order;;;;;;;;;;;;;
EVTDESC69630;The guns have stopped and the imperialists reign supreme, the victors have written up a new international code on how to conduct warefare and imperialism;;;;;;;;;;;;;
EVTOPTA69630;A new Era;;;;;;;;;;;;;
EVTDESC69631;The international community agrees, for too long have we been held back on seeking glory for our nations. A new world order is upon us;;;;;;;;;;;;;
EVTDESC69632;The world has changed, instead of a new, peaceful world as first proposed, instead we have been granted one of war, imperialism and glory;;;;;;;;;;;;;
EVTNAME69640;To the Negotiating table;;;;;;;;;;;;;
EVTDESC69640;It's time for the world powers to finally sit and negotiate on the creation on the League;;;;;;;;;;;;;
EVTNAME69641;A league or Not?;;;;;;;;;;;;;
EVTDESC69641;The nations of the world sit down at the negotiating table, placing their votes on the future of the world. The decision must be a full concencuss or we shall be forced back to the status quo;;;;;;;;;;;;;
EVTOPTA69641;A League of Nations is in our best interest;;;;;;;;;;;;;
EVTOPTCB9641;No the world is just fine as it is;;;;;;;;;;;;;
EVTNAME69651;Call in our Allies;;;;;;;;;;;;;
EVTDESC69651;The world has Spiralled into war, we must call for aid;;;;;;;;;;;;;
EVTOPTA69651;The Messages are sent;;;;;;;;;;;;;
EVTNAME69650;Call to Arms;;;;;;;;;;;;;
EVTDESC69650;The world is at war, we have been summond and are obliged to respond;;;;;;;;;;;;;
EVTOPTA69650;To war;;;;;;;;;;;;;
EVTNAME69800;Offer to Purchase Finland;;;;;;;;;;;;;
EVTDESC69800;The Scandinavian Empire has approached us with an offer to Purchase the pincipality of Finland;;;;;;;;;;;;;
EVTOPTA669800;We weren't using it anyway;;;;;;;;;;;;;
EVTOPTB669800;The Gall of those people!;;;;;;;;;;;;;
EVTNAME69801;They have refused!;;;;;;;;;;;;;
EVTDESC69801;They have refused our generous offer to purchase Finland!;;;;;;;;;;;;;
EVTOPTA669801;We shall bide our time;;;;;;;;;;;;;
EVTNAME69802;They have accepted;;;;;;;;;;;;;
EVTDESC69802;They have accepted our proposal to purchase Finland!;;;;;;;;;;;;;
EVTOPTA669802;Hurrah!;;;;;;;;;;;;;
EVTNAME69900;Offer to Purchase Gibralter;;;;;;;;;;;;;
EVTDESC69900;The $FROMCOUNTRY_ADJ$ has approached us with an offer to Purchase the concesion of Gibralter;;;;;;;;;;;;;
EVTOPTA69900;We weren't using it anyway;;;;;;;;;;;;;
EVTOPTB69900;The Gall of those people!;;;;;;;;;;;;;
EVTNAME69901;$FROMCOUNTRY$ have refused!;;;;;;;;;;;;;
EVTDESC69901;They have refused our generous offer to purchase Gibralter!;;;;;;;;;;;;;
EVTOPTA69901;We shall bide our time;;;;;;;;;;;;;
EVTNAME69902;$FROMCOUNTRY$ has accepted;;;;;;;;;;;;;
EVTDESC69902;They have accepted our proposal to purchase Gibralter!;;;;;;;;;;;;;
EVTOPTA69902;Hurrah!;;;;;;;;;;;;;
EVTNAME99988;The $FROMCOUNTRY_ADJ$ declaration;;;;;;;;;;;;;;;;;;
EVTDESC99988;With the victory of the Carlists and the crowning of Carlos V as King of Spain. Once of his first declarations is that he intends to return 'rightful' Spanish rule to its former colonies once more. This is a concerning development, we should be prepared to fight for our freedoms once more.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME69910;The $FROMCOUNTRY_ADJ$ Federation;;;;;;;;;;;;;;;;;;
EVTDESC69910;The $FROMCOUNTRY_ADJ$ have proposed a federation of all their former colonies into a large political union, should we accept we will be absorbed into the larger Empire. Should we refuse we will resist our annexation;;;;;;;;;;;;;;;;;;
EVTOPTA69910;We are stronger together;;;;;;;;;;;;;;;;;;
EVTOPTB69910;The $FROMCOUNTRY_ADJ$ should keep their nose out of our internal affairs;;;;;;;;;;;;;;;;;;
EVTNAME69911;$FROMCOUNTRY$ have Refused;;;;;;;;;;;;;;;;;;
EVTDESC69911;$FROMCOUNTRY$ have refused and will resist our attempts to integrate them;;;;;;;;;;;;;;;;;;
EVTOPTA69911;They will learn to love our rule;;;;;;;;;;;;;;;;;;
EVTNAME69912;$FROMCOUNTRY$ have Accepted;;;;;;;;;;;;;;;;;;
EVTDESC69912;$FROMCOUNTRY$ have accepted and will welcome our attempts to integrate them into the Empire;;;;;;;;;;;;;;;;;;
EVTOPTA69912;Tremendous!;;;;;;;;;;;;;;;;;;
EVTNAME69970;Annexation to the $FROMCOUNTRY_ADJ$;;;;;;;;;;;;;;;;;;
EVTDESC69970;We are being annexed into the $FROMCOUNTRY_ADJ$ Empire;;;;;;;;;;;;;;;;;;
EVTOPTA69970;Lets see what the future holds;;;;;;;;;;;;;;;;;;
EVTNAME69971;Annexation to the $FROMCOUNTRY_ADJ$;;;;;;;;;;;;;;;;;;
EVTDESC69971;We have resisted being annexed into the $FROMCOUNTRY_ADJ$ Empire;;;;;;;;;;;;;;;;;;
EVTOPTA69971;Lets see what the future holds;;;;;;;;;;;;;;;;;;
EVTNAME69972;Annexation to the $FROMCOUNTRY_ADJ$;;;;;;;;;;;;;;;;;;
EVTDESC69972;We have resisted being annexed into the $FROMCOUNTRY_ADJ$ Empire but it's not enough, we shall keep fighting from the ground;;;;;;;;;;;;;;;;;;
EVTOPTA69972;Lets see what the future holds;;;;;;;;;;;;;;;;;;
EVTNAME69980;American Rebellion;;;;;;;;;;;;;;;;;;
EVT69980OPTA;Horrific;;;;;;;;;;;;;;;;;;
EVTDESC69980;A rebellion in the former colony of New Spain has arrisen, local leaders are accusing us of annexing them into the federation against their will;;;;;;;;;;;;;
EVTDESC69981;A rebellion in the former colony of Brazil has arrisen, local leaders are accusing us of annexing them into the federation against their will;;;;;;;;;;;;;
EVTDESC69982;A rebellion in the former colony of Columbia has arrisen, local leaders are accusing us of annexing them into the federation against their will;;;;;;;;;;;;;
EVTDESC69983;A rebellion in the former colony of La Plata has arrisen, local leaders are accusing us of annexing them into the federation against their will;;;;;;;;;;;;;
EVTDESC69984;A rebellion in the former colony of Chilie has arrisen, local leaders are accusing us of annexing them into the federation against their will;;;;;;;;;;;;;
EVTDESC69985;A rebellion in the former colony of Peru has arrisen, local leaders are accusing us of annexing them into the federation against their will;;;;;;;;;;;;;
EVTOPTC90910;Forcefully integrate our new subbjects and force them into being an integral part of our Empire;;;;;;;;;;;;;
EVTNAME698700;Danubian Membership?;;;;;;;;;;;;;
EVTDESC698700;The people's of the Danubian federation helped suggort our independance and are a nation in support of their polish citizens. Some people have raised the question of joining their federation;;;;;;;;;;;;;
EVTOPTA698700;We shall join.;;;;;;;;;;;;;
EVTOPTB698700;We shall never be subjects again;;;;;;;;;;;;;
EVTNAME698701;Polish joined the federation;;;;;;;;;;;;;
EVTDESC698701;The polish have petitioned to join our federation;;;;;;;;;;;;;
EVTOPTA698701;Hurrah;;;;;;;;;;;;;
EVTNAME800001066;Canadian Intervention;;;;;;;;;;;;;
EVTDESC800001066;Our nation is troubled by the Civil war in the South. It presents problems and yet many opportunities. How should we proceed..?;;;;;;;;;;;;;
EVTOPTA800001066;We should keep to ourselves;;;;;;;;;;;;;
EVTOPTB800001066;We should help the Union;;;;;;;;;;;;;
EVTOPTC800001066;We shall help the separatists;;;;;;;;;;;;;
EVTOPTD800001066;We are all Anglo-Americans, we shall restore order to our brothers;;;;;;;;;;;;;
EVTNAME800001067;The American Occupation;;;;;;;;;;;;;
EVTDESC800001067;Our Occupation of America is not without resistance, people have taken to the streets to protest our occupation;;;;;;;;;;;;;
EVTOPTA800001067;They will learn to love us;;;;;;;;;;;;;
EVTNAME69999;Our Limit;;;;;;;;;;;;;
EVTDESC69999;Despite our efforts with the developments our exponential growth has started to decline. However if we are to be thrown to the dustbin of history, let it be known that we made an effort;;;;;;;;;;;;;
EVTNAME2220921;A union with the $FROMCOUNTRY$;;;;;;;;;;;;;
EVTDESC2220921;The $FROMCOUNTRY$ has approached us with the offer of a political union;;;;;;;;;;;;;
EVT2220921OPTA;We would be glad to be one;;;;;;;;;;;;;
EVT2220921OPTB;Never;;;;;;;;;;;;;
EVTNAME2220923;They Declined;;;;;;;;;;;;;
EVTDESC2220923;The $FROMCOUNTRY$ have refused our invitation to the union;;;;;;;;;;;;;
EVT2220923OPTA;We weren't really asking...;;;;;;;;;;;;;
EVT2220923OPTB;It's too bad;;;;;;;;;;;;;
EVTNAME2220922;They Accepted;;;;;;;;;;;;;
EVTDESC2220922;The $FROMCOUNTRY$ have decided to accept our proposal to join in a political union.;;;;;;;;;;;;;
EVT2220922OPTA;Hurrah!;;;;;;;;;;;;;
