Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
claim_wallonia_desc;With our natural borders at the Rhine secured, to accomplish the goal of Francophone unity, the French-Speaking Wallonians must be brought into the fold. However, there is no doubt that this would cause an uproar among other Great Powers, if we were to proclaim Wallonia as French, we will cause another crisis in Europe.;;;;;;;;;;;;;
take_the_channel_islands_title;Occupy the Channel Islands;;;;;;;;;;;;;
take_the_channel_islands_desc;The current owner of the Channel Islands has recently lost a war and was forced to abide by several punitive measures. As a part of that, we could present a proposal for the occupation of the Channel Islands by the $COUNTRY_ADJ$ military. Extending our influence over la Manche can be crucial in the power projection of our navy.;;;;;;;;;;;;;
the_treaty_of_milan_title;The Treaty of Turin ($YEAR$);;;;;;;;;;;;
the_treaty_of_milan_desc;Now that the Italians have been defeated, we should strike a deal to return territories not claimed by us to the Italians in return for them renouncing their claims on Savoie and the Aosta Valley.;;;;;;;;;;;;
claim_aosta_title;Claim The Aosta Valley;;;;;;;;;;;;;
claim_aosta_desc;The Aosta Valley was the first government authority to adopt Modern French as working language in 1536, three years before France itself. French has been the official language of the Aosta Valley since 1561, and in the 1860s, over 90% of the population declared being Francophone. In addition to our claims on Savoy and Nice, we will also extend our claims to the Aosta Valley as well.;;;;;;;;;;;;;
french_language_schooling_WestGermany_title;West German Integration;;;;;;;;;;;;;
french_language_schooling_WestGermany_desc;Expand the French schooling to the Western Germans;;;;;;;;;;;;;
french_language_schooling_WLL_title;Wallonian Integration;;;;;;;;;;;;;
french_language_schooling_WLL_desc;Expand the French schooling to the Wallonians;;;;;;;;;;;;;
french_language_schooling_LUX_title;Luxemburg Integration;;;;;;;;;;;;;
french_language_schooling_LUX_desc;Expand the French schooling to Luxembug;;;;;;;;;;;;;
french_language_schooling_CAT_title;Catalonian Integration;;;;;;;;;;;;;
french_language_schooling_CAT_desc;Expand the French schooling to the Catalonians;;;;;;;;;;;;;
french_language_schooling_BSQ_title;Basque Integration;;;;;;;;;;;;;
french_language_schooling_BSQ_desc;Expand the French schooling to the Basque;;;;;;;;;;;;;
french_language_schooling_SWI_title;Swiss Integration;;;;;;;;;;;;;
french_language_schooling_SWI_desc;Expand the French schooling to the Swiss;;;;;;;;;;;;;
embrace_Italian_minority_title;Embrace Italian Minority;;;;;;;;;;;;;
embrace_Italian_minority_desc;Bring the North-Italians into the Federation;;;;;;;;;;;;;
embrace_serbian_minority_title;Embrace Serbian Minority;;;;;;;;;;;;;
embrace_serbian_minority_desc;Bring the Serbians into the Federation;;;;;;;;;;;;;
embrace_ukraine_minority_title;Embrace Ukranian Minority;;;;;;;;;;;;;
embrace_ukraine_minority_desc;Bring the Ukranians into the Federation;;;;;;;;;;;;;
embrace_hungarian_minority_title;Embrace Hungarians Minority;;;;;;;;;;;;;
embrace_hungarian_minority_desc;Bring the Hungarians into the Federation;;;;;;;;;;;;;
embrace_slovak_minority_title;Embrace Slovak Minority;;;;;;;;;;;;;
embrace_slovak_minority_desc;Bring the Slovakians into the Federation;;;;;;;;;;;;;
embrace_romainian_minority_title;Embrace Romanian Minority;;;;;;;;;;;;;
embrace_romainian_minority_desc;Bring the Romanians into the Federation;;;;;;;;;;;;;
embrace_polish_minority_title;Embrace Polish Minority;;;;;;;;;;;;;
embrace_polish_minority_desc;Bring the Polish into the Federation;;;;;;;;;;;;;
accept_the_picard_title;Embrace the Picard;;;;;;;;;;;;;
accept_the_picard_desc;Embrace the Picard into our glorious nation;;;;;;;;;;;;;
accept_the_wallonian_title;Embrace the Wallonian;;;;;;;;;;;;;
accept_the_wallonian_desc;We should embrace the Wallonians into our nation, despite them being Frankish;;;;;;;;;;;;;
clean_up_fra_rhineland_title;The Rhineland;;;;;;;;;;;;
clean_up_fra_rhineland_desc;The French are victorious, the Left Bank of the Rhine has come under French control;;;;;;;;;;;;
clean_up_france_lost_rhine_crisis_title;AI: End the Rhine Crisis;;;;;;;;;;;;;
clean_up_france_lost_rhine_crisis_desc;The French have lost the Rhine Crisis;;;;;;;;;;;;;
annex_rhineland_title;Annex the Rhine!;;;;;;;;;;;;;
annex_rhineland_desc;German attempts to reclaim the Rhineland have failed, the time has come to dissolve the puppet state of the Rhine and begin integrating the Rhineland into $COUNTRY$, Vive la France!;;;;;;;;;;;;;
form_germany_threat_title;A Threatened Germany;;;;;;;;;;;;;
form_germany_threat_desc;The enemy is at the gate! The French pose an existential threat to all us Germans! \nWe are already in a dominant position throughout the German lands, we must push this position into forming a nation to resist the invaders.;;;;;;;;;;;;;
german_vitalisation_title;German Vitalisation;;;;;;;;;;;;;
german_vitalisation_desc;With the nation formed it's time to bring it up to a state that can deal with our would be conquerers;;;;;;;;;;;;;
maintaining_our_lead_title;The Dutch Development Program;;;;;;;;;;;;;
maintaining_our_lead_desc;It's become clear to us that our position in the world is under threat. \nIt's time we look to our greatest strength and live up to the saying that we are the most developed part of Europe;;;;;;;;;;;;;
spread_the_program_title;Spread the program;;;;;;;;;;;;;
spread_the_program_desc;With the reclemation of our rightful lands it's time to integrate them into the social program that is keeping us strong;;;;;;;;;;;;;
mexico_reconquest_title;The Mexican Reconquista.;;;;;;;;;;;;;
mexico_reconquest_desc;The time has come for the Mexican people to reclaim the land stolen from them during the Mexican-American War. The recent turmoil in the United States offers ample opportunity to undue Treaty of Guadalupe Hidalgo and restore Mexico to her former glory.;;;;;;;;;;;;;
mexico_caribbean_title;Protector of the Hispanic Caribbean;;;;;;;;;;;;;
mexico_caribbean_desc;As $COUNTRY$ is now a world player, we can extend our influence into the Spanish West Indies.;;;;;;;;;;;;;
mexico_central_america_title;Restore Mexican Rule Over Central America;;;;;;;;;;;;;
mexico_central_america_desc;In days of old, Central America used to be under the rule of the Mexican Empire, but now all that remains are small bickering states. The time has come to restore order to Central America and for good measure Panama as well.;;;;;;;;;;;;;
USA_CAN_Expansion_desc;The Second Revolutionary War is upon America! All true patriots must unite to finally push out the Royalist invaders and free Canada from the same oppressors we faced in 1776! If we are defeated the consequences will be immense, but if we are victorious, the reward will be glorious! All the monarchs of Europe will be against us but let them come for the tree of liberty must be refreshed from time to time with the blood of patriots and tyrants!;;;;;;;;;;;;;
USA_CAN_Expansion_title;Crusade for Canada;;;;;;;;;;;;;
USA_CAN_denied_title;The Treaty of Ottawa;;;;;;;;;;;;;
USA_CAN_denied_desc;British and Canadian troops have successfully defended the 50th Parallel, and the onslaught of American militiamen has been thrown back. With the war over, it is time to clip the Eagle’s wings and redraw the borders of North America to ensure lasting peace in the New World. We welcome the American diplomats into Ottawa so they might behold what they will never have. All the Oregon Territory will be returned to British hands, and several northern US territories along with the state of Michigan will be transferred to the Dominion of Canada. Also, the Treaty calls for the formation of a new and independent, under British supervision of course, Republic of New England composed of several north-eastern states. With all these measures in place, British interest in the New World shall never again be threatened by the rabble of uncivilized men.;;;;;;;;;;;;;
USA_CAN_achieved_title;The Treaty of Philadelphia;;;;;;;;;;;;;
USA_CAN_achieved_desc;After terrible fighting across the Americas, the virtuous patriots of Liberty have triumphed over the wicked tyrants of the Old World. In cities throughout the country, banners of red, white, and blue are raised to celebrate the induction of Canada into the Union. Patriotism is a fever pitch as delegates in Philadelphia sign a treaty which banishes the United Kingdom from the Americas. Any British colonial possessions are transferred to the United States so that the damages done to them during their time under Royalist oppression might be repaired. A new and beautiful day is dawning, as majestic American Eagle spreads his mighty wings over the American continents.;;;;;;;;;;;;;
FRA_USA_QUE_title;Attempt to Purchase Quebec from the Americans;;;;;;;;;;;;;
FRA_USA_QUE_desc;Relations between the France and the United States have always been rather cordial ever since the days of Lafayette. With Quebec now in their hands after the so-called Crusader for Canada, the Americans may be more willing to negotiate with France over returning Quebec back to its rightful rulers. Surely the Americans of all people will understand how important it is to undo the damage done by the British.;;;;;;;;;;;;;
USA_french_title;The Quebec Question;;;;;;;;;;;;;
USA_french_desc;After the liberation of Quebec, the issue on what to do with the French speaking population needs to be resolved. Should they be given home rule or should they be integrated into the Union.;;;;;;;;;;;;;
USA_canadian_title;Integrate the Canadians;;;;;;;;;;;;;
USA_canadian_desc;Sadly while the United States achieved independence in 1776, our Canadian brothers to the north remained under subjugation. Finally, the Canadians can be integrated into this great Union.;;;;;;;;;;;;;
monroe2;Expel the Imperialist;Peuple libre;Freies Volk;;;;;;;;;;;;
monroe2_desc;Drive out the Invaders from the Americas;Lib?er un ?pays? de ses oppresseurs;Befreien Sie ein ?Land? von seinen Unterdr?kern.;;;;;;;;;;;
monroe2_short;Seize the colonial holdings in the New World;$THIRD$ prend $STATE$;$THIRD$ erwirbt $STATE$;;;;;;;;;;;;
monroe2_setup;Seize the colonial holdings in the New World;Prendre $STATE$ ?$RECIPIENT$ pour le rendre ?$THIRD$;Geben Sie $STATE$ an $THIRD$ von $RECIPIENT$ zur?k;;;;;;;;;;;;
shield_NW_title;The Shield of the New World;;;;;;;;;;;;;
shield_NW_desc;In 1823, the United States adopted the Monroe Doctrine to safeguard the infant revolutions in the America’s from European aggression. However, we cannot continue to ignore the cries of the oppressed that still suffer under the rule of tyrants. It is time the United States fulfill its divine duty to be a Shield for Democracy in the New World. The Imperialist have been banished from Canada, now let us clean up the rest.;;;;;;;;;;;;;
NW_hegemony_title;Declare American Hegemony Over the New World;;;;;;;;;;;;;
NW_hegemony_desc;Foreign powers have been successfully banished and the New World is now firmly under the protection of the United States. It is time to begin the process of reorganizing the American nations to strengthen themselves against threats from across the oceans so that they might never be oppressed again. As long as the United States maintains the principles of democracy and liberty, then the continents of the New World will remain safe and be able to prosper.;;;;;;;;;;;;;
outside_form_FRCA_title;Reunite Central America;;;;;;;;;;;;;
outside_form_FRCA_desc;The states of Central America were once reunited under one flag, but the flag burned as quickly as it was raised. Although Central America was not state under the Federal Republic, it is not any better for it to separated into small and bickering countries. With American supervision and support, the Federal Republic can be reborn.;;;;;;;;;;;;;
outside_UCA_YUC_title;Join Yucatan with the Federal Republic of Central America;;;;;;;;;;;;;
outside_UCA_YUC_desc;The Mayan people of the Yucatan achieved their independence from their Mexican overlords, but now remain vulnerable to outside influence and attack. Will they certainly cannot be expected to rejoin Mexico, it might be possible for them to be integrated into Federal Republic of Central America.;;;;;;;;;;;;;
mexican_monarch_title;Question of the Mexican Monarch;;;;;;;;;;;;;
mexican_monarch_desc;Although European powers have been expelled from the New World, the traces of their monarchical ideals still linger. Most concerning of which is the Mexican Empire that sits on our southern borders. A decision must be reached on how the United States should deal with this sensitive issue and whether action should be taken on Mexico.;;;;;;;;;;;;;
YUC_MMwar_title;Incite a Revolt in the Yucatan;;;;;;;;;;;;;
YUC_MMwar_desc;In order to pull Mexican troops away from our borders, we can incite a revolt among the rebellious Mayans of the Yucatan peninsula. Our troops in the region can arm the local populace to take up arms against their rulers in Mexico City. Although rebellions are expensive things.;;;;;;;;;;;;;
GUA_MMWar_title;Seize Tapachula;;;;;;;;;;;;;
GUA_MMWar_desc;The chaos in the Yucatan has separated Tapachula from the rest of Mexico allowing us an opportunity to take land that is rightfully ours. We might be invaded for it, but that is a risk we must take.;;;;;;;;;;;;;
form_CRB_USA_title;Unite the Caribbean States;;;;;;;;;;;;;
form_CRB_USA_desc;The small islands of the Caribbean are a diverse collection of varying languages and nationalities with a complicated history of colonization. As different as these peoples are perhaps the United States can unite both the Greater and Lesser Antilles under one flag of common democracy.;;;;;;;;;;;;;
LSK_form_title;The Future of Alaska;;;;;;;;;;;;;
LSK_form_desc;The United States has successfully seized Alaska, but arguments have erupted on what to do with the barren land up north. The obvious answer is to continue to hold Alaska and develop the land, but there are some how says that to do so would be imperialistic. A decision must be reached.;;;;;;;;;;;;;
andean_congress_title;The Andean Congress;;;;;;;;;;;;;
andean_congress_desc;After centralizing our authority in North America, we can move on to reorganizing and strengthening the states of South America. The forming of two unions along the Andean Mountain range is our boldest plan yet. To the north, Simon Bolivar’s dream of Gran Colombia will be brought back to life and to the south the once despotic Peru-Bolivian Confederation will be reformed into a democratic state.;;;;;;;;;;;;;
CHL_andean_title;Join Chile to the Andes Federation;;;;;;;;;;;;;
CHL_andean_desc;Although this might be considered a radical idea by some, it is necessary that Chile be joined with the Andes Federation to ensure that the whole mountain range is under our control and supervision. The United States will dispatch our intentions the Chilean government, but we have no way of knowing if they will agree to such a union. It is the hope of everyone that the use of force will not be necessary.;;;;;;;;;;;;;
CHL_andean_force_title;Force Chile into the Andes Federation;;;;;;;;;;;;;
CHL_andean_force_desc;Sadly, democracy had to be defended in Chile through less than peaceful means. Now that peace has come, and the calm restored, we can begin our process of joining Chile to the Andes Federation. By doing so, we can put the War of the Pacific behind us all for good.;;;;;;;;;;;;;
panama_compromise_title;Issues in the Panama Isthmus;;;;;;;;;;;;;
panama_compromise_desc;Although Panama is technically under the jurisdiction of the Colombians, there are many on the isthmus who would rather join the Federal Republic in Central America. To prevent conflict from erupting, the United States is in a position to peacefully resolve the issue and settle for good who rules Panama.;;;;;;;;;;;;;
BRZ_USA_title;Imperial Questions in Brazil;;;;;;;;;;;;;
BRZ_USA_desc;The United States has declared itself the protector of democracy in the New World, and while the foreign powers of Europe may have been completely banished, traces of their reign remain. In Brazil, the European ties of the ruling Braganza family are undeniable. What is the place of monarchies in this New World, and how should the United States act towards the Braganza families in Brazil.;;;;;;;;;;;;;
LPL_USA_title;Form the United Provinces of La Plata;;;;;;;;;;;;;
LPL_USA_desc;In the United States continuing efforts to strengthen our control and ensure lasting peace South America, we can attempt to unite the people of the Rio de la Plata. The Argentinians have always been pushing for a more centralized state, and we are able to assist them. The United Provinces will live again and greater than ever before.;;;;;;;;;;;;;
NEN_rename_title;Rename Independence to New England;;;;;;;;;;;;;
NEN_rename_desc;The renaming of New England was always a silly idea that was never popular with those living in the region. Now that sensibility has returned, its time for the proper name of New England to return to common usage.;;;;;;;;;;;;;
mexico_Northern_caribbean_title;Mexican Northern Caribbean;;;;;;;;;;;;;
mexico_Northern_caribbean_desc;We must secure the northern Caribbean from the Americans.;;;;;;;;;;;;;
mexico_refute_american_claims_title;Refute American Claims;;;;;;;;;;;;;
mexico_refute_american_claims_desc;The Americans think that some of our land should belong to them, they are in no position to make such claims.;;;;;;;;;;;;;
mexico_integrate_afroamericans_title;Integrate Afro-Americans;;;;;;;;;;;;;
mexico_integrate_afroamericans_desc;Now we have liberated american land it's time to integrate those that were abused by their system.;;;;;;;;;;;;;
mexico_Northern_caribbean_title;Move for the Northern Caribbean;;;;;;;;;;;;;
mexico_Northern_caribbean_desc;To secure our position in the world we must strengthen our grip on the Caribbean and push away our troubblesome neighbour.;;;;;;;;;;;;;
mexico_Southern_caribbean_title;Mexican Southern Caribbean;;;;;;;;;;;;;
mexico_Southern_caribbean_desc;To secure the Caribbean under our influence we must take the southern coastline;;;;;;;;;;;;;
mexico_Golden_circle_title;A Mexican Goldan Circle;;;;;;;;;;;;;
mexico_Golden_circle_desc;The CSA had an idea to control the slave states of the Caribbean to balance out the Power of the progressive North.\nWe have realised this dream but instead of bringing a state of oppression we have come as liberators.\n\nViva Mexico.;;;;;;;;;;;;;
mexico_Southern_caribbean_title;Liberate the Southern Carribean
mexico_Southern_caribbean_desc;The southern Carribean is relatively unstable region, it must be secured if the Carribean is to remain a safe and prosperous region.;;;;;;;;;;;;;
mexico_integrate_northandean_title;Integrate the North-Anean;;;;;;;;;;;;;
mexico_integrate_northandean_desc;The North-Andeas are a vital part of securing the Carribean region, the people there must be accepted so we can control the region with relatively little trouble;;;;;;;;;;;;;
mexico_secure_islands_title;Secure Caribbean Islands;;;;;;;;;;;;;
mexico_secure_islands_desc;Now we've established our new position as controllers of the Caribbean it's high time we close in remove the Colonisers from our rightful Domain;;;;;;;;;;;;;
mexico_Free_afroAmericanss_title;Free The Afro-Americans;;;;;;;;;;;;;
mexico_Free_afroAmericanss_desc;The people in the USA might have banned salvery but they still face horrible conditions, mistreatment and segregation.\nIt's time to fix this by bringing them into our fold;;;;;;;;;;;;;
treaty_of_paris_title;The Treaty of Paris ($YEAR$);;;;;;;;;;;;;
treaty_of_paris_desc;Despite early British confidence, British forces were unable to make any gains against France. The British are willing to bring an end to the war by seceding Quebec and Acadia in its entirety, however in return we would recognize British control in the rest of North America.\n\n§RNOTE: This will only give you Quebec and Acadia but NOT all of Canada, this removes the ability to go for French Lousiana.;;;;;;;;;;;;;
treaty_of_paris2_title;The Treaty of Montreal ($YEAR$);;;;;;;;;;;;;
treaty_of_paris2_desc;Despite early British confidence, they have suffered a immense defeat at the hands of our armies, the French flag flies once again in Quebec and Acadia and British have agreed to secede the whole of British North America to our control. This is a glorious day for the French people! ;;;;;;;;;;;;;
the_quebec_question_title;The Quebec Question;;;;;;;;;;;;;
the_quebec_question_desc;Reclaiming Quebec and British controlled Acadia will be our first major goal of reuniting the overseas French. However, before we resort to all-out warfare to reclaim our former American colonies, we must try our hand at diplomacy first - if we offer a large sum of money, as well as agreeing to ignore British 'goals' elsewhere, we may be able to regain Quebec without a war.;;;;;;;;;;;;;
organize_acadia_title;Organize Acadia;;;;;;;;;;;;;
organize_acadia_desc;Acadia was a colony of New France in northeastern North America that included parts of eastern Quebec, the Maritime provinces, and Maine to the Kennebec River. Slowly annexed by the United Kingdom over the course of the 18th century, Acadia is once again in French hands. If we intend to keep Acadia this time, we must invest in the colony, funding new settlers, deportation of rebellious english colonials, and building infrastructure throughout the colony. If we are successful, we will have a far greater control over Canada and the North American coast.;;;;;;;;;;;;;
organize_canada_title;Restore French North America;;;;;;;;;;;;;
organize_canada_desc;Canada was the name of the French colony that once stretched along the St. Lawrence River, with the other colonies of New France being Acadia, Louisiana and the south shore of Newfoundland. Originally lost to the United Kingdom in 1763, we have now since restored out control over Canada. If we wish to counter possible rebellion by the Anglo-Canadians or invasion by the Americans, we must invest heavily in Canada, ensuring that the colony has a strong french presence and an unbroken loyalty to France.;;;;;;;;;;;;;
french_language_schooling_WestGermany_intensify_title;Intensify German Francification;;;;;;;;;;;;;
french_language_schooling_WestGermany_intensify_desc;The time has come to rid our Frankish lands of the Barbarians that have crossed the Rhine.\nTheir assimilation shall be swift.;;;;;;;;;;;;;
mexican_american_war_alternate_treaty_title;All of Mexico Movement;;;;;;;;;;;;
mexican_american_war_alternate_treaty_desc;With the Mexicans having refused the generous Treaty of Guadalupe Hidalgo, some in our government have been pushing for a 'All of Mexico' option, where the United States would annex the whole of Mexico, while annexing all of Mexico would certaintly be unrealistic, we could possibly lay claim to more of the bordering Mexican states.;;;;;;;;;;;;
us_refute_mexican_claims_title;Refute Mexican Claims;;;;;;;;;;;;;
us_refute_mexican_claims_desc;The Mexicans claim lands that rightfully belong to the USA.They are, however, not in a position to enforce such preposterous claims and as such it shouldn't be too difficult to dismiss.;;;;;;;;;;;;;
accept_donations_title;Accept political 'Donations';;;;;;;;;;;;;
accept_donations_desc;Thanks to the structure of our government we are in a position to accept 'donations' to the state. Our benefactors will obviously be rewarded but we should care that we at least supposed to appear to be running a fair Democracy..;;;;;;;;;;;;;
encourage_turkish_nationalism_title;Encourage Turkish Nationalism;;;;;;;;;;;;;
encourage_turkish_nationalism_desc;The Ottoman Empire is a walking Corpse, unable to even exert its control over the primitave entity that is the Egyption nation.\nThe Turkish people Deserve better.;;;;;;;;;;;;;
Turkish_Independance_title;Turkish Independance;;;;;;;;;;;;;
Turkish_Independance_desc;It's time to remove ourselves from this failing empire;;;;;;;;;;;;;
Turkish_state_title;Establish the Turkish State;;;;;;;;;;;;
Turkish_state_desc;We have been victorious!\nNow that we are free it is time to create a new, modern state that will bring the Turkish people into a glorious, secularised, future.;;;;;;;;;;;;;
option_fix_crisis_title;Fix Crisis;;;;;;;;;;;;;
option_fix_crisis_desc;HPM crisis can be weird and white peace because the CB doesn't pass a check and invalidates it. I think this is what people reffered to as the truce bug.\n\nI don't know why they made it like this.\n\nAnyway this fixed it in all my tests.;;;;;;;;;;;;;
Turkish_Diaspora_title;Turkish Diaspora;;;;;;;;;;;;;
Turkish_Diaspora_desc;Because of our recent independence many Turks live outside of our borders. We need to expand our realm to get our citizens back.;;;;;;;;;;;;;
Turkish_Militarism_title;Turkish Militarism;;;;;;;;;;;;;
Turkish_Militarism_desc;Due to our recent successes in reclaiming our lost citizenry the Turkic people have never had such a lust for the glory and honor of war.;;;;;;;;;;;;;
female_education_title;Female Education;;;;;;;;;;;;;
female_education_desc;As a modern, liberal, nation the time has come to ban any remaining restriction to a woman's right to higher, or lower, education;;;;;;;;;;;;;
Turkish_Identity_title;Turkish Identity;;;;;;;;;;;;;
Turkish_Identity_desc;As a fledgling nation we currently have no idea how to Identify ourselves. Who are we? What history do we choose to accept? And where will our choice lead us?;;;;;;;;;;;;;
Turkish_Education_title;A Modern Education;;;;;;;;;;;;;
Turkish_Education_desc;Our fledgling nation is already behind the rest of the civilised in every metric. We need to nurture our people into the best and the brightest minds in the world if we are to become the power we are destined to be.;;;;;;;;;;;;;
Turkish_Ottoman_idea_title;Propse a Union;;;;;;;;;;;;; 
Turkish_Ottoman_idea_desc;It's time to propose a union with the remains of the old Ottoman Empire. In return for their annexation we shall take the Sultan to the throne however we must ensure he is bound by constitutional laws to restrict his powers;;;;;;;;;;;;;
Turkish_anatolian_project_title;The Anatolian Project;;;;;;;;;;;;;
Turkish_anatolian_project_desc;Our heartland of Anatolia is rough and underdeveloped compared to the greater western nations. Using modern technology we should be able imporve our lands for the embeterment of the Turkish people.;;;;;;;;;;;;;
Turkish_Ottoman_finish_title;Finish the Ottomans;;;;;;;;;;;;;
Turkish_Ottoman_finish_desc;The Ottomans are weak, as the heirs of the Ottoman Empire it is time to push our claim and put the dying empire to rest. Death to the Ottoman Empire. Long live the Ottoman Empire. Long live the Turkic Republic;;;;;;;;;;;;;
Turkish_Ottoman_Egypt_title;Retake Eygpt;;;;;;;;;;;;;
Turkish_Ottoman_Egypt_desc;Our claim to the Ottoman empire next leads us to to Eygpt. Whilst the failing empire that preceeded us failed to maintain their rule over the area, the people there are our rightful subjects and it is our duty to bring them into the fold.;;;;;;;;;;;;;
Argentine_export_boom_title;Argentine Export Boom;;;;;;;;;;;;;
Argentine_export_boom_desc;Argentina holds great wealth potential in its pastures and farms, using foreign investment and immigration we can take advantage of this to power an export led economy.;;;;;;;;;;;;;
Turkish_Ottoman_Tunisia_title;Eyalet of Tunis;;;;;;;;;;;;;
Turkish_Ottoman_Tunisia_desc;Tunisia has been a part of the Ottoman empire since 1609 and as the historical home of Carthage it is a region that should find its way into our borders;;;;;;;;;;;;;
Turkish_Ottoman_Algeria_title;Reclaim Algeria;;;;;;;;;;;;;
Turkish_Ottoman_Algeria_desc;Algeria had been part of the Ottoman Empire since the 16th century, only to be taken by the French after the old Empires influence waned, we must retake these lands. Even though it means pushing into the western spheres.;;;;;;;;;;;;;
Turkish_Ottoman_Wallachia_title;Impale Wallachia;;;;;;;;;;;;;
Turkish_Ottoman_Wallachia_desc;Wallachia is one of the earliest conquests of the Ottomans stretching back to when the Old Empire was freshly poking its influence out of the Byzantine's old borders. It's our birth right to have them back into the fold.;;;;;;;;;;;;;
Turkish_Ottoman_moldovia_title;Seize Moldovia;;;;;;;;;;;;;
Turkish_Ottoman_moldovia_desc;Squashed between the Austrians and the Russians Moldovia's independence continuing into the future is an improbability, we should move in on the claim of the Old Empire before others take the place first.;;;;;;;;;;;;;
Turkish_Ottoman_Serb_title;Ottoman Serbia.;;;;;;;;;;;;;
Turkish_Ottoman_Serb_desc;Serbia is rightfully a subject of the Ottomans. It was part of the Old Empire until the Austrians supported their independence at the end of the last century, lying between us and the Austrians it creates an awkward situation where should the two of us come to war they might provide as a means for  the Austrians to get around our defensive lines. We must reclaim it..;;;;;;;;;;;;;
Turkish_Ottoman_Montenegro_title;Annex Montenegro;;;;;;;;;;;;;
Turkish_Ottoman_Montenegro_desc;Montenegro rebelled from the Old Empire, with several skirmishes around their border and our troops happening. The Old Empire never lost its claim and never recognized their Independence, but if we are to keep it this way we need to end this rebellion against our rule soon.;;;;;;;;;;;;;
Turkish_Ottoman_Arabia_title;Into Arabia;;;;;;;;;;;;;
Turkish_Ottoman_Arabia_desc;The Old Empire went into Arabia, the home of Islam. Now it's our turn to go back in, not for religious reasons, but to spread our secular ways and bring the benefits that comes with them.;;;;;;;;;;;;;
Turkish_Ottoman_Yemen_title;Gulf of Aden;;;;;;;;;;;;;
Turkish_Ottoman_Yemen_desc;The stretegically importent Gulf of Aden used to belong to the Old Empire, now it's our turn to retake such the valueable location, it is vital for much of the trade leading into the mediterranean.;;;;;;;;;;;;;
Turkish_Ottoman_Oman_title;Take Oman;;;;;;;;;;;;;
Turkish_Ottoman_Oman_desc;Oman sits on the Edge of the Arabian peninsula, the Old Empire gives us claims and we have a stretegic interest in securing it for ourselves. What more needs to be said?;;;;;;;;;;;;;
Turkish_Ottoman_trucial_title;Persian Gulf;;;;;;;;;;;;;
Turkish_Ottoman_trucial_desc;The minor states lying on the southern shore of the Persian gulf are nothing but irritents in the way of secureing our intests in the Gulf and securing our power over the Arabian peninsula.;;;;;;;;;;;;;
Turkish_Ottoman_lybia_title;Ottoman Tripolitania;;;;;;;;;;;;;
